login,tier,seed_repository,seed_contributions,relevant_repository,evidence
can1357,search-relevant,can1357/oh-my-pi,10149,can1357/notionfs,"Oh My Pi creator; also builds smgrep and a local-first Obsidian Copilot fork"
badlogic,search-relevant,can1357/oh-my-pi,1343,badlogic/gmcli,"Creator of the original Pi agent; builds a focused Gmail CLI"
Mathews-Tom,search-relevant,can1357/oh-my-pi,372,Mathews-Tom/archex,"Builds multiple retrieval and personal-knowledge prototypes"
metaphorics,search-relevant,can1357/oh-my-pi,312,metaphorics/oh-my-pi-plugin-morph,"Works on search and memory systems around Oh My Pi"
oldschoola,search-relevant,can1357/oh-my-pi,156,oldschoola/omp-chrollo,"Builds retrieval and memory experiments around Pi"
wolfiesch,search-relevant,can1357/oh-my-pi,124,wolfiesch/omp-episodic-memory,"Builds transcript retrieval and an iMessage gateway"
kitlangton,search-relevant,anomalyco/opencode,1082,kitlangton/mail-control,"Builds a multi-account Gmail and iCloud mail CLI"
pashpashpash,search-relevant,cline/cline,207,pashpashpash/vault-ai,"Former Cline AI lead; built a personal knowledge retrieval app"
jlongster,search-relevant,anomalyco/opencode,144,jlongster/rocket-bar,"Long public tool-building history including live deep search and SQLite work"
thdxr,ai-builder,anomalyco/opencode,2248,,"OpenCode core contributor and SST founder"
sestinj,ai-builder,continuedev/continue,9663,,"Continue creator"
paul-gauthier,ai-builder,Aider-AI/aider,12649,,"Aider creator"
saoudrizwan,ai-builder,cline/cline,2492,,"Cline creator"
xingyaoww,ai-builder,OpenHands/OpenHands,642,,"OpenHands core contributor and All Hands AI co-founder"
neubig,ai-builder,OpenHands/OpenHands,448,,"OpenHands core maintainer and language-model researcher"
kujtimiihoxha,ai-builder,charmbracelet/crush,874,,"Crush core contributor"
andreynering,ai-builder,charmbracelet/crush,712,,"Crush core contributor"
meowgorithm,ai-builder,charmbracelet/crush,568,,"Crush core contributor and Charm founder"
DOsinga,ai-builder,aaif-goose/goose,291,,"Goose core contributor with many independent experiments"
blackgirlbytes,ai-builder,aaif-goose/goose,183,,"Goose contributor with a large public project portfolio"
MaxGhenis,adjacent-builder,,,MaxGhenis/openmessage,"Builds the closest messaging-source candidate"
asciimoo,adjacent-builder,,,asciimoo/hister,"Created Searx and builds Hister"
hanxiao,adjacent-builder,,,hanxiao/omni-macos,"Builds native on-device multimodal search"
Xoshbin,adjacent-builder,,,Xoshbin/asyar,"Builds a local-first launcher and file index"
samuelmeseret,adjacent-builder,,,samuelmeseret/memsearch,"Builds a new macOS and Raycast semantic file search app"
